date,day_of_week,day_of_year,price,demand,revenue,seasonal
2020-01-01,2,1,144.08869027119405,155,22333.746992035078,1.0261171571631211
2020-01-02,3,2,144.30915129144162,148,21357.75439113336,1.0855690557710511
2020-01-03,4,3,144.17428535669617,159,22923.711371714693,1.1017999635403113
2020-01-04,5,4,144.33014661265804,149,21505.19184528605,1.0641366522814248
2020-01-05,6,5,144.19702058450582,190,27397.433911056105,1.0024826390664472
2020-01-06,0,6,144.06323037052232,152,21897.61101631939,0.964799793107559
2020-01-07,1,7,144.13273888665339,164,23637.769177411155,0.9809916372653696
2020-01-08,2,8,143.58311075707638,165,23691.2132749176,1.0403849549257924
2020-01-09,3,9,143.0875935088294,195,27902.080734221734,1.0997665116862791
2020-01-10,4,10,142.92606513689114,170,24297.431073271495,1.1159230766292891
2020-01-11,5,11,142.6351090807665,181,25816.95474361874,1.0781814435947297
2020-01-12,6,12,142.7253829306749,162,23121.512034769334,1.016445152863088
2020-01-13,0,13,142.4645348005418,139,19802.57033727531,0.9786760980271494
2020-01-14,1,14,142.0588222323349,149,21166.7645126179,0.9947778274930734
2020-01-15,2,15,142.47985924127724,142,20232.140012261367,1.0540771513497018
2020-01-16,3,16,142.41500047002003,187,26631.605087893746,1.1133608630468785
2020-01-17,4,17,142.4343993013935,175,24926.019877743864,1.129415760660668
2020-01-18,5,18,142.02511180527617,185,26274.64568397609,1.0915686681571999
2020-01-19,6,19,141.8687269476526,151,21422.177769095542,1.029723157066879
2020-01-20,0,20,141.90059168659,164,23271.69703660076,0.9918411533468395
2020-01-21,1,21,141.56994569320761,167,23642.180930765673,1.0078262388724333
2020-01-22,2,22,141.67787248526312,177,25076.983429891574,1.067005258296619
2020-01-23,3,23,141.50532697311797,175,24763.432220295646,1.12616504071804
2020-01-24,4,24,141.42153209228135,169,23900.23892359555,1.1420924209356798
2020-01-25,5,25,141.2486797980306,166,23447.280846473077,1.104114260701825
2020-01-26,6,26,141.78078386216367,156,22117.802282497534,1.0421341703850773
2020-01-27,0,27,141.77690651361115,144,20415.874537960008,1.0041141158213
2020-01-28,1,28,141.4730578321969,146,20655.06644350075,1.0199577197932896
2020-01-29,2,29,141.70935035797544,170,24090.589560855824,1.0789918688780424
2020-01-30,3,30,141.35863853010125,180,25444.554935418226,1.1380034351024102
2020-01-31,4,31,141.4186387874497,173,24465.4245102288,1.153779297185034
2020-02-01,5,32,140.85568423451195,173,24368.033372570568,1.1156463617762937
2020-02-02,6,33,140.47413614931918,159,22335.38764774175,1.0535082851080164
2020-02-03,0,34,140.53068848824552,160,22484.91015811928,1.0153270798308305
2020-02-04,1,35,140.7428278265632,163,22941.080935729802,1.0310064164799668
2020-02-05,2,36,140.792056802884,181,25483.362281322003,1.0898732303083742
2020-02-06,3,37,140.75883451393008,210,29559.355247925316,1.148714442927953
2020-02-07,4,38,140.67233643740545,167,23492.28018504671,1.1643169835367935
2020-02-08,5,39,140.24760133737337,180,25244.568240727207,1.1260078101441688
2020-02-09,6,40,140.04081164885204,155,21706.325805572065,1.0636906312050243
2020-02-10,0,41,139.90848392174556,154,21545.906523948815,1.0253275124418566
2020-02-11,1,42,140.21216348648957,161,22574.15832132482,1.0408221782947882
2020-02-12,2,43,140.31087473295295,162,22730.36170673838,1.0995016187387112
2020-02-13,3,44,139.80440608275558,193,26982.250373971827,1.1581528109083026
2020-02-14,4,45,139.89750570390188,175,24482.06349818283,1.1735627403088138
2020-02-15,5,46,139.78688309432368,185,25860.573372449882,1.1350584220243751
2020-02-16,6,47,139.59242367107058,164,22893.157482055576,1.072543622335575
