date,day_of_week,day_of_year,price,demand,revenue,seasonal
2020-01-01,2,1,35.190868199024536,123,4328.476788480018,1.0822844129312283
2020-01-02,3,2,35.13465251625868,135,4743.178089694922,1.2154064005001535
2020-01-03,4,3,35.08307837044313,136,4771.298658380266,1.2532540382485937
2020-01-04,5,4,35.044112110298535,138,4836.087471221198,1.1723010678168235
2020-01-05,6,5,35.19561711214677,118,4153.082819233319,1.0384592314862942
2020-01-06,0,6,35.322832330224934,115,4062.1257179758672,0.9574439316277571
2020-01-07,1,7,35.37539220323747,106,3749.7915735431716,0.9951669289922177
2020-01-08,2,8,35.307736878833936,98,3460.158214125726,1.1281020021535861
2020-01-09,3,9,35.370634192670245,153,5411.707031478548,1.2609992393255451
2020-01-10,4,10,35.353828559696964,136,4808.120684118787,1.2986087399333979
2020-01-11,5,11,35.20219358779364,152,5350.733425344632,1.217404316182593
2020-01-12,6,12,35.222413887948555,119,4191.467252665878,1.0832977848656264
2020-01-13,0,13,35.1631185323405,117,4114.084868283839,1.0020046267880869
2020-01-14,1,14,35.10620788586715,137,4809.5504803638,1.0394366850363668
2020-01-15,2,15,35.08857182334577,144,5052.7543425617905,1.1720678243959155
2020-01-16,3,16,35.05347527957562,156,5468.342143613797,1.3046482231425598
2020-01-17,4,17,35.05106259540011,154,5397.863639691617,1.3419280745876685
2020-01-18,5,18,35.045264111466615,159,5572.196993723192,1.2603812886188486
2020-01-19,6,19,34.9131521689992,139,4852.928151490888,1.125919783477913
2020-01-20,0,20,35.020224300682315,124,4342.507813284607,1.044259145156853
2020-01-21,1,21,34.9509657553744,112,3914.5081646019325,1.0813113256343891
2020-01-22,2,22,34.88388899306304,125,4360.48612413288,1.2135503022619525
2020-01-23,3,23,34.86074921382671,135,4706.201143866606,1.3457263695216508
2020-01-24,4,24,34.85311926514086,161,5611.352201687679,1.3825898405369987
2020-01-25,5,25,34.955874208784834,154,5383.204628152865,1.3006147485781112
2020-01-26,6,26,34.97484951695077,109,3812.258597347634,1.1657131388031083
2020-01-27,0,27,35.01474529085005,104,3641.5335102484055,1.0836007276164838
2020-01-28,1,28,35.034080685457916,130,4554.430489109529,1.1201896008670087
2020-01-29,2,29,35.05038236529681,156,5467.859648986303,1.2519538731940434
2020-01-30,3,30,35.072196400876614,164,5751.840209743765,1.3836439797448261
2020-01-31,4,31,34.936075266363794,163,5694.580268417299,1.4200103776435158
2020-02-01,5,32,34.918473679605015,152,5307.607999299962,1.33752724745372
2020-02-02,6,33,35.00033092912863,131,4585.043351715851,1.202106784876252
2020-02-03,0,34,35.27798658698481,134,4727.250202655964,1.1194648600628885
2020-02-04,1,35,35.19316793831992,123,4328.75965641335,1.1555137157687154
2020-02-05,2,36,35.222965168534124,154,5424.336635954255,1.2867276266519452
2020-02-06,3,37,35.18274675135617,170,5981.066947730549,1.4178571909437916
2020-02-07,4,38,35.326961464651035,167,5899.602564596723,1.453653031869181
2020-02-08,5,39,35.231615477210724,138,4861.96293585508,1.3705894990600676
2020-02-09,6,40,35.27562953509381,135,4762.209987237665,1.2345789602030839
2020-02-10,0,41,35.17652062655612,131,4608.124202078851,1.1513374603023454
2020-02-11,1,42,35.15408419553371,133,4675.493198005984,1.1867774197799748
2020-02-12,2,43,35.15166753128191,161,5659.4184725363875,1.3173732937232805
2020-02-13,3,44,35.227005179689044,171,6023.817885726827,1.4478758635011575
2020-02-14,4,45,35.151141062008904,174,6116.298544789549,1.4830359381305394
2020-02-15,5,46,35.197862673241815,157,5526.064439698965,1.399328055634654
2020-02-16,6,47,35.19918517536709,156,5491.072887357266,1.2626647746348534
2020-02-17,0,48,35.218397825679915,142,5001.012491246548,1.178762333556836
2020-02-18,1,49,35.28589253873461,135,4763.595492729172,1.2135333486738609
2020-02-19,2,50,35.19556295419235,156,5490.507820854006,1.3434524732958866
2020-02-20,3,51,35.25265259986328,174,6133.961552376211,1.4732706893272378
2020-02-21,4,52,35.21258502288684,181,6373.4778891425185,1.5077390085736329
2020-02-22,5,53,35.28976663555068,150,5293.464995332602,1.4233321740403477
2020-02-23,6,54,35.31332929932847,144,5085.1194191033,1.285962951463311
2020-02-24,0,55,35.29857235972848,132,4659.41155148416,1.201347788453943
2020-02-25,1,56,35.257017237098985,146,5147.524516616452,1.2353995124803931
2020-02-26,2,57,35.31500133651652,156,5509.140208496577,1.364592989994094
2020-02-27,3,58,35.40380929525903,142,5027.340919926783,1.4936794179242696
2020-02-28,4,59,35.36628092823159,181,6401.296848009918,1.5274100249212457
2020-02-29,5,60,35.28648405614879,162,5716.410417096104,1.4422597725903599
2020-03-01,6,61,35.33537686177358,161,5688.995674745547,1.3041416469582763
2020-03-02,0,62,35.2333578251851,143,5038.37016900147,1.2187723175525529
2020-03-03,1,63,35.14141148336274,141,4954.939019154146,1.2520648353171215
2020-03-04,2,64,35.06656623487984,162,5680.783730050534,1.3804942916726135
2020-03-05,3,65,35.03730634349615,195,6832.274736981749,1.5088121099442107
2020-03-06,4,66,34.94318940892185,206,7198.297018237901,1.5417697465378692
2020-03-07,5,67,34.80664106663014,138,4803.31646719496,1.4558423921067392
2020-03-08,6,68,34.72667251404705,151,5243.727549621105,1.316943262949607
2020-03-09,0,69,34.771921546822306,143,4972.384781195589,1.230789260022233
2020-03-10,1,70,34.68236757358371,150,5202.355136037557,1.2632936667842463
2020-03-11,2,71,34.6584026145222,177,6134.53726277043,1.3909318081905775
2020-03-12,3,72,34.79550724646054,168,5845.64521740537,1.5184553420501063
2020-03-13,4,73,34.792043946350844,176,6123.399734557748,1.5506159601324012
2020-03-14,5,74,34.81616816804324,172,5988.3809249034375,1.4638890892644003
2020-03-15,6,75,34.74953922113191,153,5316.679500833183,1.3241881826588617
2020-03-16,0,76,34.90191126500971,158,5514.501979871534,1.2372303788555117
2020-03-17,1,77,34.86378826695001,159,5543.342334445051,1.2689291994975225
2020-03-18,2,78,34.84772301112856,161,5610.4834047916975,1.395760208252382
2020-03-19,3,79,34.94048254670885,168,5870.001067847087,1.522475302099789
2020-03-20,4,80,34.92768312901117,167,5832.923082544866,1.5538264123675394
2020-03-21,5,81,34.93105590299214,181,6322.5211184415775,1.4662892057572048
2020-03-22,6,82,34.91121678856854,153,5341.416168650986,1.325777375601516
2020-03-23,0,83,34.8918605334696,155,5408.238382687788,1.2380083007343425
2020-03-24,1,84,34.91795473491324,130,4539.334115538721,1.268895743195987
2020-03-25,2,85,34.95689814289523,173,6047.543378720874,1.3949155070827979
2020-03-26,3,86,34.91159459891485,162,5655.678325024206,1.5208197297638428
2020-03-27,4,87,34.85764008001748,199,6936.670375923479,1.5513605828455386
2020-03-28,5,88,34.814739044814694,170,5918.5056376184975,1.4630139731261516
2020-03-29,6,89,34.71604968969211,137,4756.09880748782,1.3216938337820199
2020-03-30,0,90,34.60403678197506,141,4879.169186258484,1.233117783166469
2020-03-31,1,91,34.624966059483675,141,4882.120214387198,1.2631998224441352
2020-04-01,2,92,34.69107071545428,145,5030.205253740871,1.3884159943697105
2020-04-02,3,93,34.75241783552812,180,6255.435210395061,1.513518674433906
2020-04-03,4,94,34.58465583073007,183,6328.992017023603,1.5432602717575123
