date,day_of_week,day_of_year,price,demand,revenue,seasonal
2020-01-01,2,1,91.61063210053543,154,14108.037343482456,1.183071042250757
2020-01-02,3,2,91.76790318724765,208,19087.72386294751,1.3339023337089921
2020-01-03,4,3,91.75534197188182,225,20644.951943673408,1.3737690096246755
2020-01-04,5,4,91.76062282768048,194,17801.560828570015,1.2752777286910573
2020-01-05,6,5,91.72665393683576,168,15410.077861388407,1.1151791742541588
2020-01-06,0,6,91.94910238368011,172,15815.245609992979,1.0165724904619875
2020-01-07,1,7,91.721614730425,157,14400.293512676726,1.0562083948569232
2020-01-08,2,8,91.83316483482699,169,15519.80485708576,1.206693614514797
2020-01-09,3,9,92.03527957951499,197,18130.950077164453,1.3571178843424163
2020-01-10,4,10,92.16674142184337,207,19078.51547432158,1.3965709573073397
2020-01-11,5,11,92.5933672807583,199,18426.0800888709,1.2976596146622954
2020-01-12,6,12,92.49629562748859,170,15724.37025667306,1.137134664226658
2020-01-13,0,13,92.67197902014902,139,12881.405083800715,1.0380953764987697
2020-01-14,1,14,92.65250939845028,148,13712.571390970641,1.0772925972108942
2020-01-15,2,15,92.87886255045319,167,15510.770045925683,1.227333183430305
2020-01-16,3,16,92.87745147550339,185,17182.328522968128,1.377307001818293
2020-01-17,4,17,92.8062689935184,219,20324.57290958053,1.4163039388209004
2020-01-18,5,18,93.04595774303709,191,17771.777928920084,1.3169309108537848
2020-01-19,6,19,92.95574690620498,173,16081.344214773462,1.155938862543646
2020-01-20,0,20,92.69648522866527,156,14460.651695671782,1.0564272028000075
2020-01-21,1,21,92.60163413027014,184,17038.700679969705,1.0951469173291546
2020-01-22,2,22,92.7152382881711,186,17245.034321599822,1.2447050046937498
2020-01-23,3,23,92.97070351180913,235,21848.115325275146,1.3941914745299073
2020-01-24,4,24,92.99109783680943,200,18598.219567361884,1.432696357695563
2020-01-25,5,25,93.2330117262008,191,17807.505239704355,1.3328267164125458
2020-01-26,6,26,92.98376115062648,185,17201.9958128659,1.171333642464798
2020-01-27,0,27,92.90241398982282,164,15235.995894330943,1.0713166932265537
2020-01-28,1,28,92.84945504255495,155,14391.665531596018,1.1095270041322807
2020-01-29,2,29,92.82843123863731,194,18008.71566029564,1.2585717246919277
2020-01-30,3,30,92.84386413637564,190,17640.33418591137,1.4075410166632738
2020-01-31,4,31,92.97065925759115,199,18501.16119226064,1.4455250641552164
2020-02-01,5,32,92.88902885882574,196,18206.249656329845,1.3451310837244363
2020-02-02,6,33,92.91454323086754,166,15423.814176324011,1.1831103225278814
2020-02-03,0,34,92.90626233405006,156,14493.376924111808,1.0825624943049055
2020-02-04,1,35,92.73634416827193,149,13817.715281072517,1.1202388918008772
2020-02-05,2,36,92.7154841985956,203,18821.243292314906,1.2687468227358107
2020-02-06,3,37,92.68911998000537,203,18815.89135594109,1.4171766079298365
2020-02-07,4,38,92.65882459964422,221,20477.60023652137,1.4546185913593537
2020-02-08,5,39,92.66465305569041,207,19181.583182527913,1.3536801502063234
2020-02-09,6,40,92.67854056992392,184,17052.851464866002,1.191112692963155
2020-02-10,0,41,92.59920629529803,183,16945.65475203954,1.0900160953670408
2020-02-11,1,42,92.83277332335001,165,15317.407598352751,1.127141812775557
2020-02-12,2,43,92.61815169005203,186,17226.976214349677,1.275097316087114
2020-02-13,3,44,92.48584015074567,230,21271.743234671503,1.422973089818068
2020-02-14,4,45,92.99601562406362,238,22133.051718527142,1.4598596421103713
2020-02-15,5,46,92.80552473914081,190,17633.049700436753,1.3583645147322188
2020-02-16,6,47,92.5570853617661,157,14531.462401797278,1.195239281134162
2020-02-17,0,48,92.69187562224178,165,15294.159477669893,1.0935839823345654
2020-02-18,1,49,92.31068516517847,187,17262.098125888373,1.1301502392462293
2020-02-19,2,50,92.26750798928535,168,15500.941342199938,1.2775456885477836
2020-02-20,3,51,92.66130711574482,209,19366.213187190668,1.4248609807116746
2020-02-21,4,52,92.3777823931684,209,19306.956520172196,1.461186789962639
2020-02-22,5,53,92.01405473112264,208,19138.92338407351,1.3591308242291356
2020-02-23,6,54,91.73892685799741,179,16421.267907581536,1.1954448231502286
2020-02-24,0,55,91.90379269077216,194,17829.3357820098,1.0932289939117845
2020-02-25,1,56,92.11021031814526,168,15474.515333448404,1.1292351235238722
2020-02-26,2,57,92.0161406584428,192,17667.099006421016,1.2760710146429284
2020-02-27,3,58,92.14152295069681,206,18981.153727843543,1.4228274835505657
2020-02-28,4,59,92.39666088256249,192,17740.158889451995,1.4585953700629117
2020-02-29,5,60,92.72467247775721,190,17617.68777077387,1.3559825474329747
2020-03-01,6,61,92.6794653327515,177,16404.265363897015,1.1917409203085325
2020-03-02,0,62,92.25710210013256,139,12823.737191918426,1.0889708605194415
2020-03-03,1,63,92.10645541931707,172,15842.310332122537,1.1244243193062453
2020-03-04,2,64,92.02812884329002,188,17301.288222538522,1.2707092630936727
2020-03-05,3,65,91.98060871678418,212,19499.889047958244,1.4169166714209216
2020-03-06,4,66,91.94613299271651,209,19216.741795477752,1.452137546802619
2020-03-07,5,67,92.15147114035203,229,21102.686891140616,1.3489799245829766
2020-03-08,6,68,92.38535266316396,151,13950.188252137757,1.1841958708456475
2020-03-09,0,69,92.35384732730844,178,16438.984824260904,1.0808859181532027
2020-03-10,1,70,92.55543990812103,159,14716.314945391245,1.1158021777281024
2020-03-11,2,71,92.62107747813043,182,16857.036101019738,1.2615527751787965
2020-03-12,3,72,92.63291553419354,213,19730.811008783225,1.4072288483828341
2020-03-13,4,73,92.79928339253787,197,18281.45882832996,1.4419215573009068
2020-03-14,5,74,92.81254299873802,190,17634.383169760225,1.3382390937843496
2020-03-15,6,75,93.19018995142721,164,15283.191152034064,1.1729336794386147
2020-03-16,0,76,92.92621451971624,141,13102.59624727999,1.0691060013166775
