date,day_of_week,day_of_year,price,demand,revenue,seasonal
2020-01-01,2,1,11.242766551878995,173,1944.9986134750661,1.023728085061796
2020-01-02,3,2,11.24270968952988,204,2293.5127766640953,1.1791000461779153
2020-01-03,4,3,11.253756050537632,240,2700.901452129032,1.2208234015568094
2020-01-04,5,4,11.250916779477834,207,2328.9397733519118,1.1208300064109475
2020-01-05,6,5,11.260363624533477,184,2071.9069069141597,0.9577600373209119
2020-01-06,0,6,11.241534444426565,160,1798.6455111082503,0.8577433435121461
2020-01-07,1,7,11.227943854439122,169,1897.5225114002117,0.8994201084691299
2020-01-08,2,8,11.211418016056095,208,2331.974947339668,1.0547222012100788
2020-01-09,3,9,11.198699768814217,206,2306.932152375729,1.2100080678449738
2020-01-10,4,10,11.22766770019121,234,2627.2742418447433,1.2516361592919398
2020-01-11,5,11,11.244007159189364,191,2147.6053674051686,1.151538358992206
2020-01-12,6,12,11.219771069728463,167,1873.7017686446534,0.9883548744638538
2020-01-13,0,13,11.229616942350923,159,1785.5090938337967,0.8882155885694013
2020-01-14,1,14,11.220826911097102,171,1918.7614017976045,0.9297607211200092
2020-01-15,2,15,11.205469887393837,222,2487.614315001432,1.0849221801394158
2020-01-16,3,16,11.172033410841237,226,2524.87955085012,1.2400584534104087
2020-01-17,4,17,11.193906382090036,217,2429.0776849135377,1.281528036178856
2020-01-18,5,18,11.163212724637365,204,2277.2953958260223,1.1812628588555276
2020-01-19,6,19,11.162043296468287,180,2009.1677933642916,1.0179031785559305
2020-01-20,0,20,11.140746619285553,150,1671.1119928928329,0.9175789303531929
2020-01-21,1,21,11.158206940252436,167,1863.4205590221568,0.9589303888667974
2020-01-22,2,22,11.150682372682692,180,2007.1228270828844,1.1138895195102816
2020-01-23,3,23,11.147656298776576,201,2240.678916054092,1.2688148700206956
2020-01-24,4,24,11.145389280299778,199,2217.932466779656,1.3100649981448742
2020-01-25,5,25,11.15219860733389,220,2453.4836936134557,1.2095718993227353
2020-01-26,6,26,11.152491278758479,199,2219.3457644729374,1.0459758982078433
2020-01-27,0,27,11.151517418265817,141,1572.3639559754802,0.9454069999002854
2020-01-28,1,28,11.139850813258459,168,1871.494936627421,0.9865055515146504
2020-01-29,2,29,11.104411624232918,196,2176.464678349652,1.1412035934062474
2020-01-30,3,30,11.079238702738623,213,2359.877843683327,1.2958597506783596
